section,dataset,centrality,elbow_k,elbow_score,alpha,xmin,r_vs_exp,p_value,verdict,k,seed,val_auc,test_auc,mean_val_auc,std_val_auc,mean_test_auc,std_test_auc,optimal_k,auc_at_elbow,auc_at_optimal,auc_gap,match
elbow,Cora,pagerank,283,0.0005537648381644106,,,,,,,,,,,,,,,,,,
elbow,Cora,betweenness,280,0.0033992086409880455,,,,,,,,,,,,,,,,,,
elbow,Cora,closeness,1,0.22276881556604902,,,,,,,,,,,,,,,,,,
elbow,Cora,eigenvector,381,0.00450054960447799,,,,,,,,,,,,,,,,,,
elbow,Citeseer,pagerank,376,0.00045216057700948415,,,,,,,,,,,,,,,,,,
elbow,Citeseer,betweenness,363,0.0020123177676512447,,,,,,,,,,,,,,,,,,
elbow,Citeseer,closeness,1,0.10394351249990509,,,,,,,,,,,,,,,,,,
elbow,Citeseer,eigenvector,363,0.0017459115257228484,,,,,,,,,,,,,,,,,,
elbow,Pubmed,pagerank,2685,9.492971967794362e-05,,,,,,,,,,,,,,,,,,
elbow,Pubmed,betweenness,2083,0.0006203417185868873,,,,,,,,,,,,,,,,,,
elbow,Pubmed,closeness,1909,0.18486291865131455,,,,,,,,,,,,,,,,,,
elbow,Pubmed,eigenvector,2064,0.0017015280498457496,,,,,,,,,,,,,,,,,,
powerlaw,Cora,pagerank,,,2.975872279285868,0.0012846944866967427,4.951589005845951,0.1564798170557444,exponential △,,,,,,,,,,,,,
powerlaw,Cora,betweenness,,,2.2727550031296686,0.0035333307382555226,71.74664925710417,0.004043621082094951,power-law ✓,,,,,,,,,,,,,
powerlaw,Cora,closeness,,,2.9911056448151534,0.08997278443482332,-514.7552219520594,0.0,exponential △,,,,,,,,,,,,,
powerlaw,Cora,eigenvector,,,1.356581882527288,8.709351341801587e-05,1158.5160518191658,5.621751087429946e-43,power-law ✓,,,,,,,,,,,,,
powerlaw,Citeseer,pagerank,,,2.7650511852273434,0.00018147779974270282,-222.2151804121881,1.1026047216811925e-11,exponential △,,,,,,,,,,,,,
powerlaw,Citeseer,betweenness,,,2.6682497470912336,0.008628789789543605,5.193925805586873,0.1591855303683789,exponential △,,,,,,,,,,,,,
powerlaw,Citeseer,closeness,,,2.9947474749612466,0.04234820227575417,-422.4142521087915,0.0,exponential △,,,,,,,,,,,,,
powerlaw,Citeseer,eigenvector,,,1.1548897545523618,5.6056086808550166e-08,5070.6790211646485,2.016558691065142e-215,power-law ✓,,,,,,,,,,,,,
powerlaw,Pubmed,pagerank,,,2.194220052487959,1.5119587469112838e-05,4627.9103181419205,4.1785027174752907e-259,power-law ✓,,,,,,,,,,,,,
powerlaw,Pubmed,betweenness,,,2.5402751979556166,0.0014550471983468317,200.60504294088247,0.00172016744095724,power-law ✓,,,,,,,,,,,,,
powerlaw,Pubmed,closeness,,,2.9978924231065562,0.09652829117115706,-4344.017305896788,0.0,exponential △,,,,,,,,,,,,,
powerlaw,Pubmed,eigenvector,,,1.7423564952915656,0.0017319188606899185,380.1704561939154,1.3090039710443804e-18,power-law ✓,,,,,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,2,0,0.8352,0.8627,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,2,1,0.8711,0.8366,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,2,2,0.8421,0.8407,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,4,0,0.8835,0.8946,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,4,1,0.9,0.8606,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,4,2,0.8741,0.871,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,6,0,0.8919,0.9044,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,6,1,0.9331,0.8947,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,6,2,0.893,0.8946,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,8,0,0.8984,0.912,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,8,1,0.9426,0.9016,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,8,2,0.9018,0.915,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,10,0,0.9011,0.9256,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,10,1,0.9507,0.9154,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,10,2,0.9078,0.9235,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,12,0,0.9117,0.9363,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,12,1,0.9547,0.9122,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,12,2,0.9108,0.9287,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,15,0,0.9206,0.9404,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,15,1,0.9567,0.9197,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,15,2,0.9231,0.938,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,20,0,0.9257,0.9463,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,20,1,0.9578,0.9299,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,20,2,0.9293,0.9386,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,25,0,0.9275,0.9557,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,25,1,0.9594,0.9375,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,25,2,0.9395,0.9458,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,30,0,0.9306,0.9607,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,30,1,0.9627,0.9442,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,30,2,0.9438,0.9526,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,283,0,0.955,0.9761,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,283,1,0.977,0.9677,,,,,,,,,
ksweep_run,Cora,pagerank,,,,,,,,283,2,0.9726,0.9738,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,2,0,0.8358,0.8638,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,2,1,0.8707,0.8315,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,2,2,0.8423,0.8407,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,4,0,0.8704,0.8932,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,4,1,0.9081,0.8735,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,4,2,0.8632,0.8656,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,6,0,0.893,0.9061,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,6,1,0.9294,0.8948,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,6,2,0.8981,0.9007,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,8,0,0.9055,0.9174,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,8,1,0.9419,0.9012,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,8,2,0.9031,0.9169,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,10,0,0.9149,0.9189,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,10,1,0.9509,0.9193,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,10,2,0.9124,0.9178,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,12,0,0.9229,0.9351,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,12,1,0.9563,0.9212,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,12,2,0.916,0.9232,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,15,0,0.9255,0.9404,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,15,1,0.9626,0.9354,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,15,2,0.9281,0.9314,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,20,0,0.9323,0.9481,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,20,1,0.9654,0.9395,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,20,2,0.9451,0.9427,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,25,0,0.9341,0.9449,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,25,1,0.968,0.9396,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,25,2,0.9478,0.9431,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,30,0,0.9379,0.9545,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,30,1,0.9701,0.9415,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,30,2,0.9462,0.9476,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,280,0,0.9543,0.9719,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,280,1,0.9735,0.966,,,,,,,,,
ksweep_run,Cora,betweenness,,,,,,,,280,2,0.9681,0.9718,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,1,0,0.6921,0.6963,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,1,1,0.6955,0.6489,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,1,2,0.7043,0.6607,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,2,0,0.6921,0.6927,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,2,1,0.6973,0.6503,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,2,2,0.706,0.6589,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,4,0,0.6887,0.699,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,4,1,0.6976,0.6543,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,4,2,0.7096,0.6617,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,6,0,0.6886,0.7004,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,6,1,0.6977,0.6546,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,6,2,0.7113,0.6649,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,8,0,0.6967,0.705,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,8,1,0.6978,0.6546,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,8,2,0.7121,0.6679,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,10,0,0.6936,0.7044,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,10,1,0.6972,0.6535,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,10,2,0.7122,0.6675,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,12,0,0.7024,0.7064,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,12,1,0.7085,0.6613,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,12,2,0.7097,0.6645,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,15,0,0.7009,0.7048,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,15,1,0.7049,0.6606,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,15,2,0.7121,0.6681,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,20,0,0.7,0.7068,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,20,1,0.7159,0.6663,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,20,2,0.715,0.6702,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,25,0,0.7068,0.7117,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,25,1,0.718,0.6512,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,25,2,0.7135,0.672,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,30,0,0.7131,0.72,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,30,1,0.7213,0.6788,,,,,,,,,
ksweep_run,Cora,closeness,,,,,,,,30,2,0.7201,0.6873,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,2,0,0.8051,0.8143,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,2,1,0.8252,0.7714,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,2,2,0.8308,0.7988,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,4,0,0.8277,0.8238,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,4,1,0.8542,0.8031,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,4,2,0.8523,0.8251,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,6,0,0.8312,0.8255,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,6,1,0.8525,0.8054,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,6,2,0.8531,0.8263,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,8,0,0.8344,0.8351,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,8,1,0.8572,0.8103,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,8,2,0.8551,0.8312,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,10,0,0.8275,0.8309,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,10,1,0.8553,0.8085,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,10,2,0.8508,0.8307,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,12,0,0.8323,0.8315,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,12,1,0.8637,0.8136,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,12,2,0.8576,0.8289,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,15,0,0.8316,0.8323,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,15,1,0.8635,0.8136,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,15,2,0.8559,0.8359,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,20,0,0.8339,0.8353,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,20,1,0.8616,0.8171,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,20,2,0.8573,0.833,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,25,0,0.8364,0.8377,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,25,1,0.6582,0.6232,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,25,2,0.861,0.8383,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,30,0,0.8272,0.8319,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,30,1,0.8587,0.8109,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,30,2,0.8677,0.8388,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,381,0,0.8169,0.8172,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,381,1,0.9583,0.9316,,,,,,,,,
ksweep_run,Cora,eigenvector,,,,,,,,381,2,0.9444,0.9475,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,2,0,0.7955,0.8138,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,2,1,0.8096,0.8365,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,2,2,0.7839,0.7959,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,4,0,0.8087,0.826,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,4,1,0.8235,0.8425,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,4,2,0.7943,0.8064,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,6,0,0.8272,0.8391,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,6,1,0.8533,0.8567,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,6,2,0.8235,0.8251,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,8,0,0.8251,0.8415,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,8,1,0.8514,0.8594,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,8,2,0.8329,0.8259,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,10,0,0.8311,0.8517,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,10,1,0.8533,0.8633,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,10,2,0.8464,0.8368,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,12,0,0.8501,0.8689,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,12,1,0.8655,0.8744,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,12,2,0.8666,0.8575,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,15,0,0.8624,0.8747,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,15,1,0.8708,0.8809,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,15,2,0.8764,0.867,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,20,0,0.8744,0.8853,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,20,1,0.8915,0.8917,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,20,2,0.8902,0.8741,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,25,0,0.8864,0.8929,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,25,1,0.8991,0.895,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,25,2,0.895,0.8862,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,30,0,0.8903,0.8947,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,30,1,0.9045,0.9025,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,30,2,0.8993,0.8895,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,376,0,0.9681,0.9582,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,376,1,0.9688,0.9553,,,,,,,,,
ksweep_run,Citeseer,pagerank,,,,,,,,376,2,0.9606,0.959,,,,,,,,,
ksweep_run,Citeseer,betweenness,,,,,,,,2,0,0.7058,0.711,,,,,,,,,
ksweep_run,Citeseer,betweenness,,,,,,,,2,1,0.7188,0.7447,,,,,,,,,
ksweep_run,Citeseer,betweenness,,,,,,,,2,2,0.6888,0.6995,,,,,,,,,
ksweep_run,Citeseer,betweenness,,,,,,,,4,0,0.7672,0.7893,,,,,,,,,
ksweep_run,Citeseer,betweenness,,,,,,,,4,1,0.7801,0.8209,,,,,,,,,
ksweep_run,Citeseer,betweenness,,,,,,,,4,2,0.7694,0.7839,,,,,,,,,
ksweep_run,Citeseer,betweenness,,,,,,,,6,0,0.8023,0.8312,,,,,,,,,
ksweep_run,Citeseer,betweenness,,,,,,,,6,1,0.8382,0.847,,,,,,,,,
